Symbol,Trade DATE,Close
NVDA,1/2/2019 16:00:00,136.22
NVDA,1/3/2019 16:00:00,127.99
NVDA,1/4/2019 16:00:00,136.19
NVDA,1/7/2019 16:00:00,143.4
NVDA,1/8/2019 16:00:00,139.83
NVDA,1/9/2019 16:00:00,142.58
NVDA,1/10/2019 16:00:00,145.23
NVDA,1/11/2019 16:00:00,148.83
NVDA,1/14/2019 16:00:00,150.44
NVDA,1/15/2019 16:00:00,149.87
NVDA,1/16/2019 16:00:00,148.84
NVDA,1/17/2019 16:00:00,151.72
NVDA,1/18/2019 16:00:00,156.93
NVDA,1/22/2019 16:00:00,148.77
NVDA,1/23/2019 16:00:00,149.29
NVDA,1/24/2019 16:00:00,157.84
NVDA,1/25/2019 16:00:00,160.15
NVDA,1/28/2019 16:00:00,138.01
NVDA,1/29/2019 16:00:00,131.6
NVDA,1/30/2019 16:00:00,137.39
NVDA,1/31/2019 16:00:00,143.75
NVDA,2/1/2019 16:00:00,144.73
NVDA,2/4/2019 16:00:00,149.18
NVDA,2/5/2019 16:00:00,149.95
NVDA,2/6/2019 16:00:00,153
NVDA,2/7/2019 16:00:00,147.42
NVDA,2/8/2019 16:00:00,148.17
NVDA,2/11/2019 16:00:00,146.45
NVDA,2/12/2019 16:00:00,151.17
NVDA,2/13/2019 16:00:00,152.88
NVDA,2/14/2019 16:00:00,154.53
NVDA,2/15/2019 16:00:00,157.34
NVDA,2/19/2019 16:00:00,156.64
NVDA,2/20/2019 16:00:00,158.55
NVDA,2/21/2019 16:00:00,155.77
NVDA,2/22/2019 16:00:00,159.19
NVDA,2/25/2019 16:00:00,158.69
NVDA,2/26/2019 16:00:00,157.1
NVDA,2/27/2019 16:00:00,155.41
NVDA,2/28/2019 16:00:00,154.26
NVDA,3/1/2019 16:00:00,156.45
NVDA,3/4/2019 16:00:00,156.78
NVDA,3/5/2019 16:00:00,156.52
NVDA,3/6/2019 16:00:00,152.05
NVDA,3/7/2019 16:00:00,149.26
